service_code,name,service_type_code,service_type_label,grouping_code,grouping_label,family_code,family_label,vat_code,vat_label,duration_minutes,price,price_holiday,legacy_services_price_raw
0150,STYLIZACJA,2,PAN,2,COIFFURE,12,STYLIZACJA,1,°AVAT,60,3.0,3.0,
0151,STYLIZACJA STYMULISTE,2,PAN,2,COIFFURE,03,CZESANIE,1,°AVAT,60,20.0,20.0,
0152,STYLIZACJA PREMIUM,2,PAN,2,COIFFURE,03,CZESANIE,1,°AVAT,0,30.0,30.0,
0155,BALEYAGE WL KROTKIE,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,100.0,100.0,
0156,BALEYAGE WL SREDNIE,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,150.0,150.0,"125,50"
0157,BALEYAGE WL DLUGIE,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,200.0,200.0,"135,50"
0158,NAKLADANIE BALEYAGE,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,20.0,20.0,"145,50"
0159,ODBARWIANIE WL KROTKIE,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,90.0,90.0,"15,00"
0160,ODBARWIANIE WL SREDNIE,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,100.0,100.0,"60,00"
0161,ODBARWIANIE WL DLUGIE,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,110.0,110.0,"70,00"
0162,PASEMKA WL KROTKIE,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,110.0,110.0,"80,00"
0163,PASEMKA WL SREDNIE,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,160.0,160.0,"125,50"
0164,PASEMKA WL DLUGIE,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,210.0,210.0,"135,50"
0165,NAKLADANIE PASEMEK,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,30.0,30.0,"145,50"
0166,OLAPLEX,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,150.0,150.0,"20,00"
0168,DEMAKIJAZ 1 SASZETKA,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,50.0,50.0,"20,00"
0169,MODYFIKACJA SASZETKA,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,50.0,50.0,"30,00"
0170,NAKLADANIE DEMAKIJAZ MODYFIKAC,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,10.0,10.0,"30,00"
0171,KONTUR WOK.TWARZY,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,150.0,150.0,"5,00"
0173,ODBARWIANIE ODROSTOW DO 3CM,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,50.0,50.0,"10,00"
0174,NAKLADANIE ODBARWIENIA,2,PAN,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,10.0,10.0,"40,00"
0175,KOLORYZACJA WL KROTKIE,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,100.0,100.0,"5,00"
0176,KOLORYZACJA WL SREDNIE,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,140.0,140.0,"110,00"
0177,KOLORYZACJA WL DLUGIE,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,180.0,180.0,"110,00"
0178,NAKLADANIE KOLORU,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,25.0,25.0,"141,00"
0179,TONOWANIE 4 DOZY,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,100.0,100.0,"20,00"
0180,PREKOLORYZACJA WL KR I SR,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,100.0,100.0,"20,00"
0181,BALEYAGE WL KROTKIE,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,100.0,100.0,"45,00"
0182,BALEYAGE WL SREDNIE,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,150.0,150.0,"125,50"
0183,BALEYAGE WL DLUGIE,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,200.0,200.0,"135,50"
0184,NAKLADANIE BALEYAGE,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,20.0,20.0,"145,50"
0185,COVER  5,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,74.0,74.0,"15,00"
0186,NAKLADANIE COVER 5,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,15.0,15.0,"210,00"
0187,PREKOLORYZACJA WL DL,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,200.0,200.0,"20,00"
0189,TRWALA WL KROTKIE,2,PAN,1,TECHNIQUE,07,TRWALA,1,°AVAT,0,200.0,200.0,"45,00"
0190,TRWALA WL SREDNIE,2,PAN,1,TECHNIQUE,07,TRWALA,1,°AVAT,0,240.0,240.0,"55,00"
0191,TRWALA WL DLUGIE,2,PAN,1,TECHNIQUE,07,TRWALA,1,°AVAT,0,250.0,250.0,"65,00"
0192,ZABEZPIECZANIE,2,PAN,1,TECHNIQUE,07,TRWALA,1,°AVAT,0,50.0,50.0,"40,00"
0193,TRWALA CZESCIOWA,2,PAN,1,TECHNIQUE,07,TRWALA,1,°AVAT,0,100.0,100.0,"45,00"
0194,NAKRECANIE TRWALEJ,2,PAN,1,TECHNIQUE,07,TRWALA,1,°AVAT,0,100.0,100.0,"20,00"
0200,SPRZEDAZ KERASTASE,4,SPRZEDAZ,4,VENTE,0000,,O,,60,0.0,0.0,
0201,SPRZEDAZ LOREAL,4,SPRZEDAZ,4,VENTE,0000,,O,,60,0.0,0.0,
0202,BE HAIR SPRZEDAZ,4,SPRZEDAZ,4,VENTE,0000,,O,,60,0.0,0.0,
0203,SPRZEDAZ STAPIZ,4,SPRZEDAZ,4,VENTE,0000,,O,,60,0.0,0.0,
0204,SPRZEDAZ INNE,4,SPRZEDAZ,4,VENTE,O,,,,60,0.0,0.0,
0205,SPRZEDAZ CHI,4,SPRZEDAZ,4,VENTE,0000,,O,,60,0.0,0.0,
0206,SPRZEDAZ YODEYMA,4,SPRZEDAZ,4,VENTE,O,,,,60,0.0,0.0,
0207,SPRZEDAZ JOICO,4,SPRZEDAZ,4,VENTE,O,,,,60,0.0,0.0,
0208,SPRZEDAZ LUXURY,4,SPRZEDAZ,4,VENTE,O,,,,60,0.0,0.0,
0209,SPRZEDAZ OLAPLEX,4,SPRZEDAZ,4,VENTE,O,,,,60,0.0,0.0,
0210,SPRZEDAZ LUCIANOPIERANTONI,4,SPRZEDAZ,4,VENTE,O,,,,60,0.0,0.0,
0211,K18 SPRZEDAZ,4,SPRZEDAZ,4,VENTE,0000,,O,,60,0.0,0.0,
0212,SPRZEDAZ RRLINE,4,SPRZEDAZ,4,VENTE,O,,,,60,0.0,0.0,
0213,SPRZEDAZ DIANA,4,SPRZEDAZ,4,VENTE,0000,,O,,60,0.0,0.0,
0300,HENNA BRWI,3,ESTETYKA,3,ESTHETIQUE,16,HENNA,17,,1,35.0,35.0,
0301,HENNA RZESY,3,ESTETYKA,3,ESTHETIQUE,16,HENNA,17,,1,35.0,35.0,
0302,REGULACJA,3,ESTETYKA,3,ESTHETIQUE,16,HENNA,17,,1,35.0,35.0,
0303,HENNA KOMPLET + REGULACJA,3,ESTETYKA,3,ESTHETIQUE,16,HENNA,17,,1,65.0,65.0,
0304,HENNA PUDROWA,3,ESTETYKA,3,ESTHETIQUE,16,HENNA,17,,1,85.0,85.0,
0305,HENNA BRWI+REG,3,ESTETYKA,3,ESTHETIQUE,38,OCZY,16,,1,50.0,50.0,
